Result;Type;Category;Position X;Position Y
50;1;1;6.854396;7.243171
50;1;1;1.215087;6.3576
50;1;1;6.00221;6.568425
50;1;2;3.320756;7.115223
50;1;1;4.552413;8.10985
50;0;1;2.23459;2.260926
50;0;0;5.49218;2.512496
50;0;1;1.534038;1.186788
50;0;1;3.722519;2.025852
50;0;0;7.359124;1.332031
50;0;2;2.531053;2.336303
50;0;1;2.787063;2.399646
51;1;2;4.435275;6.41114
51;1;1;1.317056;7.688619
51;1;1;3.055129;7.966426
51;1;1;8.165055;8.808081
51;1;1;6.358733;7.384209
51;0;0;5.145702;1.844977
51;0;0;8.604798;2.299679
51;0;1;4.370172;1.260877
51;0;1;5.942994;0.8244909
51;0;0;6.538713;1.035949
51;0;0;6.013619;2.260665
51;0;0;5.770475;0.804498
51;0;0;7.607183;2.17952
51;0;1;7.769586;1.56633
52;1;2;2.520742;6.363351
52;1;2;8.184265;7.706145
52;1;2;5.978697;6.583715
52;1;1;1.01372;7.285129
52;0;1;5.190328;1.951284
52;0;0;4.492457;1.232038
52;0;1;1.045432;1.776106
52;0;0;2.134741;0.9203576
52;0;2;7.956279;0.7777667
52;0;2;4.254779;1.695015
52;0;0;8.498582;0.8315283
53;1;1;1.629755;9.080842
53;1;2;1.029519;8.091187
53;1;2;7.20506;6.774471
53;1;2;2.651001;6.919341
53;0;0;3.024432;1.569353
53;0;2;6.202633;1.482064
53;0;1;7.749712;1.600375
53;0;0;1.654702;0.655856
53;0;2;8.660209;2.182852
53;0;0;4.62045;1.764965
53;0;1;1.767503;2.213231
54;1;2;3.180705;7.470633
54;1;1;5.417925;6.659781
54;1;1;7.592569;9.005579
54;1;2;1.567373;9.041373
54;1;1;3.140918;6.380014
54;0;1;1.710901;0.7824967
54;0;0;8.117391;1.330251
54;0;1;5.735397;1.040729
54;0;0;1.515859;1.832493
54;0;0;2.274677;2.350163
54;0;1;7.213076;2.328965
54;0;2;3.707735;1.578585
54;0;0;2.780047;1.675122
55;1;1;6.388101;6.499068
55;1;1;5.463683;7.271371
55;1;1;2.67139;7.194324
55;1;1;7.803349;8.27343
55;1;2;1.33303;6.77457
55;0;2;6.006101;1.069629
55;0;1;8.44003;2.3354
55;0;0;2.316255;1.705288
55;0;0;5.443432;0.9384167
55;0;1;7.576753;0.5390397
55;0;1;3.538569;0.5916117
55;0;1;1.165785;1.734571
56;1;2;4.231232;7.011562
56;1;1;2.442833;8.995426
56;1;1;2.689719;7.544457
56;1;1;7.58474;8.033877
56;1;2;7.656746;7.444296
56;0;1;4.579085;0.7972736
56;0;2;2.025469;2.48616
56;0;2;4.036009;1.828254
56;0;1;5.299873;0.8752193
56;0;2;6.15732;1.214339
56;0;0;6.135385;1.775752
57;1;2;7.852533;9.006223
57;1;2;4.225752;6.46601
57;1;1;1.809362;8.046186
57;1;2;2.880121;7.190813
57;0;2;8.103332;1.0891
57;0;1;2.159067;2.250316
57;0;1;6.430425;2.35514
57;0;0;3.5149;1.655512
57;0;1;1.37575;0.7915299
57;0;1;1.995346;0.7867238
57;0;0;8.487296;1.210345
58;1;2;2.761117;7.193396
58;1;2;4.36747;6.770071
58;1;1;6.871095;7.450906
58;1;2;8.310773;8.811699
58;0;2;1.839012;0.7218567
58;0;0;4.344048;1.209574
58;0;1;3.718264;0.6505413
58;0;0;2.900233;0.9314646
58;0;0;0.7833713;1.115759
58;0;1;3.657574;1.982154
58;0;0;7.452658;0.7332443
58;0;0;8.611622;1.624912
59;1;1;7.485889;8.947501
59;1;1;4.432377;6.731058
59;1;1;5.501907;7.730736
59;1;1;2.417783;8.419341
59;1;1;1.145449;7.839278
59;1;1;2.237247;7.682432
59;0;0;5.887996;2.080452
59;0;1;1.685417;0.5221609
59;0;0;4.194559;0.5089102
59;0;1;2.67251;1.583021
59;0;2;4.214819;1.715452
59;0;0;2.66164;1.157774
59;0;2;8.029601;1.218319
60;1;2;6.932385;8.680443
60;1;2;2.982629;7.645684
60;1;2;4.06668;6.702007
60;1;2;7.376426;7.480476
60;0;1;5.662131;1.713244
60;0;1;4.626408;1.042901
60;0;0;8.50062;0.9372555
60;0;1;1.311531;1.1262
60;0;0;1.483836;2.112803
60;0;2;3.769295;2.486412
60;0;0;6.18158;1.440239
60;0;0;3.582424;1.238255
61;1;2;4.783875;6.421219
61;1;1;1.237189;7.185866
61;1;1;6.572257;7.273112
61;1;1;3.43927;7.386441
61;1;1;7.277223;6.426861
61;0;1;2.360211;1.105731
61;0;0;1.117737;1.272882
61;0;1;5.350798;1.548386
61;0;1;0.7677015;1.996788
61;0;1;2.16907;1.261115
61;0;2;7.959332;1.344646
61;0;0;4.722317;1.77151
62;1;2;8.169896;6.921432
62;1;1;2.787999;6.818338
62;1;2;5.344302;7.0391
62;1;1;1.87211;9.265444
62;1;1;6.612598;7.740012
62;0;0;8.626491;2.326109
